"","Sitio","Orden","Familia","Especie","Abundancia","plast_habitat","plast_sust","plast_diet","masa","Diet-Inv","Diet-Vend","Diet-Vect","Diet-Vfish","Diet-Scav","Diet-Fruit","Diet-Seed","Diet-PlantO","Diet-5Cat","ForStrat-ground","ForStrat-understory","ForStrat-midhigh","ForStrat-canopy","ForStrat-aerial","Nocturnal","BodyMass-Value","BodyMass-Source","BodyMass-SpecLevel","BodyMass-Comment","Record-Comment","Abun_relativa","CWM_habitat","CWM_dieta","CWM_sustrato","CWM_suma","CWM_masa"
"14","Historico","Passeriformes","Parulidae","Myioborus pictus",1,0.692307692307692,0.2,0.125,9.79,8,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,1,NA,NA,NA,0,9.79,"Dunning08",1,NA,NA,0.024390243902439,0.0168855534709193,0.00304878048780488,0.00487804878048781,0.024812382739212,0.238780487804878
"15","Historico","Passeriformes","Passerellidae","Arremon virenticeps",1,0.538461538461538,0.6,0.375,41,4,NA,NA,NA,NA,3,3,NA,"Omnivore",4,4,2,NA,NA,0,41,"Dunning08",1,NA,NA,0.024390243902439,0.0131332082551595,0.00914634146341464,0.0146341463414634,0.0369136960600375,1
"16","Historico","Passeriformes","Passerellidae","Atlapetes pileatus",1,0.461538461538462,0.4,0.375,24,4,NA,NA,NA,NA,3,3,NA,"Omnivore",7,3,NA,NA,NA,0,24,"Dunning08",1,NA,NA,0.024390243902439,0.0112570356472796,0.00914634146341464,0.00975609756097561,0.0301594746716698,0.585365853658537
"17","Historico","Passeriformes","Passerellidae","Junco phaeonotus",1,0.615384615384615,0.4,0.375,20.4,3,NA,NA,NA,NA,NA,4,3,"PlantSeed",8,2,NA,NA,NA,0,20.4,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00914634146341464,0.00975609756097561,0.0339118198874296,0.497560975609756
"18","Historico","Passeriformes","Passerellidae","Pipilo ocai",1,0.615384615384615,0.4,0.375,60.95,5,NA,NA,NA,NA,1,4,NA,"Omnivore",6,4,NA,NA,NA,0,60.95,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00914634146341464,0.00975609756097561,0.0339118198874296,1.48658536585366
"19","Historico","Passeriformes","Peucedramidae","Peucedramus taeniatus",2,0.538461538461538,0.2,0.125,11,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,1,NA,NA,NA,0,11,"Dunning08",1,NA,NA,0.0487804878048781,0.0262664165103189,0.00609756097560976,0.00975609756097561,0.0421200750469043,0.536585365853659
"20","Historico","Passeriformes","Polioptilidae","Polioptila caerulea",1,0.923076923076923,0.4,0.125,5.8,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,5,5,NA,NA,0,5.8,"Dunning08",1,NA,NA,0.024390243902439,0.0225140712945591,0.00304878048780488,0.00975609756097561,0.0353189493433396,0.141463414634146
"21","Historico","Passeriformes","Ptiliogonatidae","Ptiliogonys cinereus",1,0.769230769230769,0.4,0.25,33.6,5,NA,NA,NA,NA,5,NA,NA,"Omnivore",NA,5,5,NA,NA,0,33.6,"Dunning08",1,NA,NA,0.024390243902439,0.0187617260787992,0.00609756097560976,0.00975609756097561,0.0346153846153846,0.819512195121951
"22","Historico","Passeriformes","Regulidae","Regulus satrapa",1,0.461538461538462,0.4,0.125,6.19,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,5,5,NA,NA,0,6.19,"Dunning08",1,NA,NA,0.024390243902439,0.0112570356472796,0.00304878048780488,0.00975609756097561,0.0240619136960601,0.150975609756098
"23","Historico","Passeriformes","Sittidae","Sitta pygmaea",1,0.461538461538462,0.4,0.25,10.6,6,NA,NA,NA,NA,NA,4,NA,"Invertebrate",NA,NA,4,6,NA,0,10.6,"Dunning08",1,NA,NA,0.024390243902439,0.0112570356472796,0.00609756097560976,0.00975609756097561,0.0271106941838649,0.258536585365854
"24","Historico","Passeriformes","Thraupidae","Diglossa baritula",1,0.615384615384615,0.6,0.125,9.2,5,NA,NA,NA,NA,NA,NA,NA,"Omnivore",NA,4,3,3,NA,0,9.2,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00304878048780488,0.0146341463414634,0.0326923076923077,0.224390243902439
"25","Historico","Passeriformes","Troglodytidae","Troglodytes aedon",1,0.923076923076923,0.2,0.25,10.85,8,NA,NA,NA,NA,NA,NA,2,"Invertebrate",NA,1,NA,NA,NA,0,10.85,"Dunning08",1,NA,NA,0.024390243902439,0.0225140712945591,0.00609756097560976,0.00487804878048781,0.0334896810506567,0.264634146341463
"26","Historico","Passeriformes","Turdidae","Catharus frantzii",1,0.461538461538462,0.2,0.25,28.9,6,NA,NA,NA,NA,4,NA,NA,"Invertebrate",1,NA,NA,NA,NA,0,28.9,"Dunning08",1,NA,NA,0.024390243902439,0.0112570356472796,0.00609756097560976,0.00487804878048781,0.0222326454033771,0.704878048780488
"27","Historico","Passeriformes","Turdidae","Myadestes occidentalis",2,0.923076923076923,0.4,0.25,36.4,7,NA,NA,NA,NA,3,NA,NA,"Invertebrate",NA,2,8,NA,NA,0,36.4,"Dunning08",1,NA,NA,0.0487804878048781,0.0450281425891182,0.0121951219512195,0.0195121951219512,0.0767354596622889,1.77560975609756
"28","Historico","Passeriformes","Turdidae","Turdus assimilis",1,0.846153846153846,0.4,0.25,70.2,6,NA,NA,NA,NA,4,NA,NA,"Invertebrate",8,NA,2,NA,NA,0,70.2,"Dunning08",1,NA,NA,0.024390243902439,0.0206378986866792,0.00609756097560976,0.00975609756097561,0.0364915572232645,1.71219512195122
"29","Historico","Passeriformes","Turdidae","Turdus migratorius",2,0.615384615384615,0.6,0.25,78.5,5,NA,NA,NA,NA,5,NA,NA,"Omnivore",2,4,4,NA,NA,0,78.5,"Dunning08",1,NA,NA,0.0487804878048781,0.0300187617260788,0.0121951219512195,0.0292682926829268,0.0714821763602251,3.82926829268293
"30","Historico","Passeriformes","Tyrannidae","Empidonax fulvifrons",1,0.615384615384615,0.6,0.125,7.9,1,NA,NA,NA,NA,NA,NA,NA,"Invertebrate",NA,3,6,1,NA,0,7.9,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00304878048780488,0.0146341463414634,0.0326923076923077,0.192682926829268
"31","Historico","Passeriformes","Vireonidae","Vireo huttoni",1,0.615384615384615,0.6,0.25,11.3,7,NA,NA,NA,NA,2,NA,NA,"Invertebrate",NA,1,7,2,NA,0,11.3,"Dunning08",1,NA,NA,0.024390243902439,0.0150093808630394,0.00609756097560976,0.0146341463414634,0.0357410881801126,0.275609756097561
"32","Historico","Piciformes","Picidae","Colaptes auratus",2,0.461538461538462,0.2,0.375,131.46,7,NA,NA,NA,NA,2,1,NA,"Invertebrate",1,NA,NA,NA,NA,0,131.46,"Dunning08",1,NA,NA,0.0487804878048781,0.0225140712945591,0.0182926829268293,0.00975609756097561,0.050562851782364,6.41268292682927
